Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
DMREPG	10.0296339518112	-0.794295687207006	0.399016256144223	-1.99063490516013	0.0465210399109436	0.120472567301901	10.0296339518112	0.32726367487263	0.339199985197795	0.964810404345373	0.334639783705129	0.539413175960011	10.0296339518112	0.824119610850353	0.514552428191327	1.60162417996387	0.109238740525079	0.2946518277748
DMRER1DM	30.8029926143282	1.5100267397713	0.384995462525571	3.92219360162201	8.77464405834815e-05	0.000918444026927278	30.8029926143282	-0.727084196997745	0.414735790322351	-1.75312624076312	0.0795803402102754	0.214307883119985	30.8029926143282	-0.502004939898903	0.562726963950545	-0.892093274462358	0.372342939474578	0.590701179454836
DMRER2DM	86.5259616108862	1.92330981251695	0.392040224508802	4.90589917125652	9.30002938001596e-07	2.18876843765346e-05	86.5259616108862	0.632421342244864	0.396685696364938	1.59426303504288	0.110877133304549	0.269169781242594	86.5259616108862	-1.34044288633983	0.552311753833063	-2.42696788007336	0.0152256037706319	0.0913203244198099
DMRTMGD1	57.5414015395015	1.50416806241451	0.267167833065647	5.63004926586695	1.80158154290795e-08	7.55328352385896e-07	57.5414015395015	-0.968904825063566	0.292188014711732	-3.31603206250425	0.000913053528322549	0.00895098812617375	57.5414015395015	-1.03442563115431	0.400493767028649	-2.58287573069849	0.0097980608087182	0.0708168182394731
DMTHB1	17.0907134556745	-0.220432554757996	0.257189355242838	-0.857082730153679	0.391399164758989	0.546627635976878	17.0907134556745	-1.1078250688114	0.285388560454926	-3.88181315693055	0.000103680526755134	0.00172398180965068	17.0907134556745	0.416971649489668	0.403369761999917	1.03372064237615	0.301266780031712	0.524087627172198
DMTN1731	53.4042281681495	-0.0336171047391119	0.262054318685128	-0.128282964035043	0.897925046439206	0.936641126554584	53.4042281681495	-0.189155528354575	0.262628016067553	-0.720241241535789	0.471376475437096	0.66127660971339	53.4042281681495	0.390924856928183	0.36975152512517	1.05726367672411	0.290391265778601	0.51264759986985
DMTNFB	5.11958020758894	-0.137235011165713	0.456949366442196	-0.300328704324997	0.763926440339607	0.849442106126703	5.11958020758894	-0.239573591512505	0.456886960802535	-0.524360754554446	0.600027647520924	0.757436820448	5.11958020758894	0.110392206989661	0.657124992367197	0.167992708041721	0.86658901569429	0.935401112089576
DMTOM1_LTR	11.3137581001103	-0.0700478625531533	0.299998527609748	-0.233494021158247	0.815377811691964	0.883903045161436	11.3137581001103	-0.33095025400168	0.306827047626891	-1.07862151189527	0.280756487548921	0.482258837468719	11.3137581001103	0.128612354002573	0.436753202879936	0.294473751204358	0.768395918193057	0.880620896633707
DMTRDNA	7.72882032776745	-0.268757937559876	0.399605800902098	-0.672557647944956	0.501228753370087	0.64878546011003	7.72882032776745	-0.293587959488741	0.39553620745291	-0.742253057891531	0.457934027275264	0.651463884687381	7.72882032776745	0.490121919447371	0.564209774106171	0.868687395966915	0.385018137220487	0.603211575930459
DMU89994	195.21820332363	0.576236367228271	0.219423993125086	2.62613198776206	0.00863613225399027	0.0340802208302627	195.21820332363	-0.20857233349155	0.221934273826605	-0.939793254531322	0.347323619537876	0.551671466860428	195.21820332363	0.28024352555534	0.310529838172415	0.902468913147537	0.366807827939898	0.586230410543023
